feature,importance_gain,importance_split
initial_rank_recip,1382451.1565847397,2149
cosine_score,344221.4447770119,1647
same_artist_as_history,196084.96928596497,216
initial_score,118856.59797716141,1695
popularity,85546.94523620605,1756
query_track_jaccard,63230.61684703827,1728
tag_overlap_query,48673.66056728363,1095
bm25_score,39437.96398162842,1706
same_album_as_history,27176.169469356537,236
tag_overlap_history,26546.50461769104,956
artist_in_query,26187.923745155334,204
query_track_overlap,24745.150320529938,951
duration_min,24370.649211406708,1631
track_age_at_session,23900.038224220276,1178
turn_number,16588.925638198853,472
release_year,12730.78848028183,836
history_track_count,2944.2522344589233,72
album_in_query,1106.444477558136,72
